,b_fcas_power,b_fcas_price,b_fcas_type,b_fcas_actor_power,b_fcas_actor_price,b_en_actor_power,b_en_power_gen,b_en_power_load,b_en_price,b_en_type,b_fcas_cleared_power,fcas_clearing_price,en_price,r,current_state_value,next_state_value,fcas_demand,soe,timestamp,k,delta
0,1.0864658e-07,41.0,gen,3.012734,2.771841,0.5824518,0,300.0,54.9,load,-3.662619777719598e-05,63.0,54.9,-16469.998648493303,177462763847680.0,-7.33354377746582,41.0,0,2018-06-01 04:30:00,0,-16477.816
1,9.9038985e-08,41.0,gen,1.0747259,3.7755334,3.6084232,0,300.0,56.19,load,-3.662139397099662e-05,63.0,56.19,-16856.998648670564,-inf,6648731243905024.0,41.0,299.99996337380225,2018-06-01 05:00:00,0,2887454400000000.0
2,1.9802377e-07,41.0,gen,17.27883,20.137157,12.92246,0,300.0,58.73,load,-3.667088624422797e-05,63.0,58.73,-17618.9986468443,,-inf,41.0,599.9999267524083,2018-06-01 05:30:00,0,
3,1.00150025e-07,41.67,gen,31.102158,35.696568,28.704124,0,129.0001,62.98,load,-7.562819709940548e-05,63.0,62.98,-8124.423890705594,,,41.67,899.9998900815222,2018-06-01 06:00:00,0,
4,-6.398670393537031e-08,47.66999816894531,gen,26.939627,38.68942,37.38407,0,7.781763e-05,74.24,load,9.73017702877645e-05,63.0,74.24,-0.019590143114328384,,,47.67,1028.9999212648486,2018-06-01 06:30:00,0,
5,4.7638714e-08,75.59,gen,9.233555,36.849735,32.683575,-300.0,0,229.57,gen,-3.40997736838571e-05,70.0,229.57,68871.0,,,75.59,1029,2018-06-01 07:00:00,0,
6,1.2564982e-07,62.14,gen,9.178598,32.805847,22.250292,-299.99997,0,104.33,gen,-0.0002607284209512537,70.0,104.33,31299.0113975986,,,62.14,728.9999659002262,2018-06-01 07:30:00,0,
7,7.3065685e-08,81.0,gen,2.1536372,11.757331,8.406519,-300.0,0,112.42,gen,-0.00015625513362197996,70.0,112.42,33726.0,,,81.0,428.99973568938344,2018-06-01 08:00:00,0,
8,5.7111595e-08,81.0,gen,1.9490032,3.6202526,1.0781932,-128.99957,0,103.99,gen,-0.00015624715675987286,70.0,103.99,13414.650613997392,,,81.0,128.99957943424982,2018-06-01 08:30:00,0,
9,7.823863e-08,78.92,gen,5.0363784,7.662286,1.9820619,0,300.0,94.0,load,-0.0002444808712135448,70.0,94.0,-28200.0,,,78.92,0,2018-06-01 09:00:00,0,
10,-1.7170782484754454e-07,77.66999816894531,gen,1.9166594,9.049987,4.853303,-299.99976,0,101.52,gen,-0.0003403099288579114,70.0,101.52,30455.94114982624,,,77.67,299.99975551912877,2018-06-01 09:30:00,0,
11,6.2428796e-08,67.67,gen,6.3190937,9.540616,2.3362617,0,300.0,82.94,load,-8.195378820005185e-05,70.0,82.94,-24881.995008768572,,,67.67,0,2018-06-01 10:00:00,0,
12,4.34227e-08,61.0,gen,0.18617372,11.267114,5.0684986,0,300.0,78.59,load,-2.0458001031382412e-08,63.0,78.59,-23576.999998876854,,,61.0,299.9999180462118,2018-06-01 10:30:00,0,
13,2.9959402e-08,61.0,gen,4.7828507,24.901323,11.62444,0,300.0,78.15,load,-1.4122288540815194e-08,63.0,78.15,-23444.999999224685,,,61.0,599.9999180257538,2018-06-01 11:00:00,0,
14,2.7880525e-08,61.0,gen,15.044879,45.084915,20.338282,0,129.00008,83.36,load,-1.3143977244367635e-08,63.0,83.36,-10753.446359141677,,,61.0,899.9999180116315,2018-06-01 11:30:00,0,
15,2.8479617e-08,45.63,gen,19.998186,54.298138,25.847069,-300.0,0,88.1,gen,4.185105886170853e-05,63.0,88.1,26429.998281302527,,,45.63,1028.9999942924328,2018-06-01 12:00:00,0,
16,5.4257665e-08,45.0,gen,5.057299,32.019024,14.773556,0,1.8204742e-05,85.15,load,0.0001861377035779179,63.0,85.15,-0.009088710814179144,,,45.0,729.0000361434917,2018-06-01 12:30:00,0,
17,4.4722051e-07,45.06,gen,5.2223415,32.555367,14.627455,0,299.99976,84.84,load,-0.00020903409091623657,63.0,84.84,-25451.970809940598,,,45.06,729.0002404859378,2018-06-01 13:00:00,0,
18,1.0327709e-07,49.88,gen,11.455521,50.852703,23.147675,-299.9998,0,88.41,gen,-0.00023055219684233757,63.0,88.41,26522.99146353587,,,49.88,1028.9997873112218,2018-06-01 13:30:00,0,
19,-8.503550930072379e-08,55.540000915527344,gen,2.9016702,31.280107,13.996436,0,300.0001,87.63,load,-0.0001731152980173923,63.0,87.63,-26289.009765625,,,55.54,728.9997703820718,2018-06-01 14:00:00,0,
20,4.8119045e-08,56.44,gen,9.645856,49.9449,21.83313,-2.333037e-05,0,98.24,gen,-0.00019760083724062154,63.0,98.24,0.012329307513879863,,,56.44,1028.9996888195083,2018-06-01 14:30:00,0,
21,1.12172216e-07,63.28,gen,8.301931,50.126568,21.971327,-299.99948,0,98.71,gen,-0.0002577264099709531,70.0,98.71,29612.963467401893,,,63.28,1028.9994678883002,2018-06-01 15:00:00,0,
22,-2.414686548490863e-07,61.0,gen,1.9739679,32.486935,13.388097,0,300.00015,91.98,load,1.1360949897888182e-07,63.0,91.98,-27594.029296875,,,61.0,728.9997289607184,2018-06-01 15:30:00,0,
23,9.660424e-08,61.0,gen,9.5467205,52.26986,20.72365,-299.99994,0,106.42,gen,-4.548478227629069e-08,63.0,106.42,31925.993507135787,,,61.0,1028.9998816622185,2018-06-01 16:00:00,0,
24,-8.990552657905937e-08,61.0,gen,3.3675685,35.128204,13.228002,0,300.00006,98.16,load,4.2285157392321545e-08,63.0,98.16,-29448.01171875,,,61.0,728.99994265189,2018-06-01 16:30:00,0,
