,battery_bid_fcas_power,battery_bid_fcas_price,battery_bid_fcas_type,fcas_cleared_power,battery_bid_energy_power_gen,battery_bid_energy_power_load,battery_bid_energy_price,battery_bid_energy_type,fcas_clearing_price,energy_price,raise_demand,raise_price,soe,timestamp
0,1.0864658396000638e-07,41.0,gen,-3.662619779100256e-05,0,299.9999998822019,54.9,load,63.0,54.9,41.0,27.81,0,2018-06-01 04:30:00
1,9.903898671008223e-08,41.0,gen,-3.662139396296533e-05,0,299.9999996616365,56.19,load,63.0,56.19,41.0,28.5,299.9999632560041,2018-06-01 05:00:00
2,1.9802377013566039e-07,41.0,gen,-3.6670886280363694e-05,0,299.9999989575398,58.73,load,63.0,58.73,41.0,24.97,599.9999262962466,2018-06-01 05:30:00
3,1.0015001966483229e-07,41.67,gen,-7.562831569332516e-05,0,129.0001115630918,62.98,load,63.0,62.98,41.67,20.59,899.9998885829001,2018-06-01 06:00:00
4,-7.072922583181135e-08,47.67,gen,9.730514226735353e-05,0,7.443613819049831e-05,74.24,load,63.0,74.24,47.67,18.24996,1028.9999245176762,2018-06-01 06:30:00
5,4.7638713072127646e-08,75.59,gen,-3.40997313385444e-05,-300.0000001680626,0,229.57,gen,70.0,229.57,75.59,30.0,1029,2018-06-01 07:00:00
6,1.25649819575498e-07,62.14,gen,-0.0002607284113022275,-299.9999811402647,0,104.33,gen,70.0,104.33,62.14,42.27879,728.999965732206,2018-06-01 07:30:00
7,7.306567165268478e-08,81.0,gen,-0.0001562551334576567,-299.9999997108037,0,112.42,gen,70.0,112.42,81.0,35.01569,428.99972386352994,2018-06-01 08:00:00
8,5.711321769816393e-08,81.0,gen,-0.000156247157715797,-128.9995676895803,0,103.99,gen,70.0,103.99,81.0,30.0,128.99956789759278,2018-06-01 08:30:00
9,7.823862671929883e-08,78.92,gen,-0.00024448089800213776,0,299.99999951336866,94.0,load,70.0,94.0,78.92,20.0,0,2018-06-01 09:00:00
10,-1.7106036425326136e-07,77.67,gen,-0.00024924649000491,-299.99975716099675,0,101.52,gen,70.0,101.52,77.67,25.73486,299.99975503247066,2018-06-01 09:30:00
11,6.242879665816328e-08,67.67,gen,-8.1953786974675e-05,0,299.99999840060684,82.94,load,70.0,82.94,67.67,18.89,0,2018-06-01 10:00:00
12,4.342269934495658e-08,61.0,gen,-2.0457993892330626e-08,0,299.99999972762663,78.59,load,63.0,78.59,61.0,14.9,299.99991644681984,2018-06-01 10:30:00
13,2.9959400431114424e-08,61.0,gen,-1.4122276725440932e-08,0,299.99999983603715,78.15,load,63.0,78.15,61.0,20.59,599.9999161539885,2018-06-01 11:00:00
14,2.7880525883740137e-08,61.0,gen,-1.314399202447905e-08,0,129.00008371559338,83.36,load,63.0,83.36,61.0,13.794529999999998,899.9999159759034,2018-06-01 11:30:00
15,2.1133629932614053e-08,45.63,gen,4.18547293904554e-05,-299.999999259991,0,88.1,gen,63.0,88.1,45.63,16.44944,1028.9999996783527,2018-06-01 12:00:00
16,5.8668146607736524e-08,45.0,gen,3.3507303668538926e-05,0,1.8173557362811212e-05,85.15,load,63.0,85.15,45.0,14.49,729.000042273091,2018-06-01 12:30:00
17,2.015295595864425e-07,45.06,gen,-0.00020891134049081352,0,299.9999058537343,84.84,load,63.0,84.84,45.06,13.851220000000001,729.000093953952,2018-06-01 13:00:00
18,9.934552400387403e-08,49.88,gen,-0.00023055023024481333,-299.9997872423363,0,88.41,gen,63.0,88.41,49.88,14.49,1028.9997908963458,2018-06-01 13:30:00
19,-8.830643983919883e-08,55.54,gen,-0.00017311366266443322,0,300.000091986981,87.63,load,63.0,87.63,55.54,17.5,728.9997731037793,2018-06-01 14:00:00
20,4.81859792156906e-08,56.44,gen,-0.0001976008707134348,-2.3393896461238366e-05,0,98.24,gen,63.0,98.24,56.44,16.25275,1028.9996919770977,2018-06-01 14:30:00
21,1.1207658576638594e-07,63.28,gen,-0.0002577263619737646,-299.99948191946845,0,98.71,gen,70.0,98.71,63.28,25.096020000000003,1028.9994709823304,2018-06-01 15:00:00
22,-2.412894986191905e-07,61.0,gen,1.1352519439901166e-07,0,300.0001438521165,91.98,load,63.0,91.98,61.0,14.9,728.9997313365,2018-06-01 15:30:00
23,1.0086561776472224e-07,61.0,gen,-4.7490145647691625e-08,-299.99993302417954,0,106.42,gen,63.0,106.42,61.0,30.0,1028.9998753021416,2018-06-01 16:00:00
24,-9.061859865163504e-08,61.0,gen,4.262071151469098e-08,0,300.0000566256454,98.16,load,63.0,98.16,61.0,30.522540000000003,728.999942230472,2018-06-01 16:30:00
25,1.8551558199656732e-07,60.33,gen,0.0002755263864165359,0,1.4311679034804668e-06,116.58,load,63.0,116.58,60.33,33.3057,1028.999998898738,2018-06-01 17:00:00
26,9.401664935794209e-09,59.33,gen,0.00019347873612690072,-299.9999998672701,0,142.46,gen,63.0,142.46,59.33,66.67344,1029,2018-06-01 17:30:00
27,3.1214340733064313e-09,58.86,gen,0.00022839608840492567,-300.00000000892936,0,319.69,gen,63.0,319.69,58.86,100.0,729.0001936114661,2018-06-01 18:00:00
28,1.591280368487588e-08,59.0,gen,0.00021073625702957535,-299.99999989050434,0,148.45,gen,63.0,148.45,59.0,47.98115,429.00042199862514,2018-06-01 18:30:00
29,3.0153113228886356e-09,59.0,gen,0.00021074270503382723,-129.00063282498562,0,135.28,gen,63.0,135.28,59.0,35.66317,129.00063284437783,2018-06-01 19:00:00
30,4.552423656721165e-09,59.0,gen,0.00021074193625156398,0,299.999999850911,124.63,load,63.0,124.63,59.0,33.67313,0.00021076209725379158,2018-06-01 19:30:00
31,7.522241947723568e-08,59.75,gen,-0.00018023096348286326,0,128.99958350872805,127.63,load,63.0,127.63,59.75,47.78005,300.00042135494454,2018-06-01 20:00:00
32,7.243749582269655e-09,57.63,gen,-4.535243005269495e-05,-299.9999669669954,0,275.28,gen,63.0,275.28,57.63,30.0,428.9998246327091,2018-06-01 20:30:00
33,-1.0650875278064946e-07,59.0,gen,0.00021079746023392528,0,300.0000589306669,126.18,load,63.0,126.18,59.0,30.0,128.99981231328366,2018-06-01 21:00:00
34,1.1280612370594739e-07,79.2,gen,-0.0002584434739987198,0,299.9999595297174,121.22,load,70.0,121.22,79.2,25.96,429.0000820414108,2018-06-01 21:30:00
35,-2.841700300416083e-07,71.0,gen,0.00020901345108002031,0,300.00015985552096,123.32,load,70.0,123.32,71.0,13.84,728.9997831276542,2018-06-01 22:00:00
36,1.6589524785963436e-09,81.0,gen,-0.000156219429711548,-300.0000000053704,0,157.98,gen,70.0,157.98,81.0,30.0,1029,2018-06-01 22:30:00
37,-2.7808782945165203e-07,81.0,gen,-0.000156079555294379,0,300.00014753144524,119.39,load,70.0,119.39,81.0,30.0,728.9998437751999,2018-06-01 23:00:00
